Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed ,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N
string ,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric
act,a,1,0,0,akt,3,a,1,3,8.25,e,1,e,1,1,13
tack,aback,1,0,1,tak,3,a,1,4,9.16,@.bak,4,a,2,5,2.4
wait,abate,1,0,1,wet,3,e,1,4,6.84,@.bet,4,e,2,5,4
bride,abide,1,0,1,braId,4,aI,1,5,7.54,@.baId,4,aI,2,5,6.6
guide,abide,2,0,1,gaId,3,aI,1,5,6.78,@.baId,4,aI,2,5,6.6
hide,abide,5,0,1,haId,3,aI,1,4,7.96,@.baId,4,aI,2,5,6.6
pride,abide,1,0,1,praId,4,aI,1,5,7.4,@.baId,4,aI,2,5,6.6
ride,abide,1,0,1,raId,3,aI,1,4,7.51,@.baId,4,aI,2,5,6.6
side,abide,6,0,1,saId,3,aI,1,4,7.99,@.baId,4,aI,2,5,6.6
slide,abide,2,0,1,slaId,4,aI,1,5,6.62,@.baId,4,aI,2,5,6.6
tide,abide,4,0,1,taId,3,aI,1,4,7.75,@.baId,4,aI,2,5,6.6
wide,abide,3,0,1,waId,3,aI,1,4,8.17,@.baId,4,aI,2,5,6.6
morgue,aboard,1,0,0,mOrg,4,O,1,6,?,@.bOrd,5,O,2,6,0
code,abode,1,0,1,kod,3,o,1,4,7.59,@.bod,4,o,2,5,8.4
load,abode,2,0,0,lod,3,o,1,4,7.64,@.bod,4,o,2,5,8.4
road,abode,3,0,1,rod,3,o,1,4,7.22,@.bod,4,o,2,5,8.4
toad,abode,1,0,1,tod,3,o,1,4,8.41,@.bod,4,o,2,5,8.4
court,abort,4,0,1,kOrt,4,O,1,5,10.45,@.bOrt,5,O,2,5,14.1
fort,abort,2,0,1,fOrt,4,O,1,4,9.07,@.bOrt,5,O,2,5,14.1
port,abort,2,0,1,pOrt,4,O,1,4,8.24,@.bOrt,5,O,2,5,14.1
quart,abort,2,0,1,kwOrt,5,O,1,5,6.17,@.bOrt,5,O,2,5,14.1
quartz,abort,1,0,0,kwOrts,6,O,1,6,6.19,@.bOrt,5,O,2,5,14.1
short,abort,1,0,1,SOrt,4,O,1,5,8.06,@.bOrt,5,O,2,5,14.1
sport,abort,2,0,1,spOrt,5,O,1,5,7.86,@.bOrt,5,O,2,5,14.1
wart,abort,1,0,1,wOrt,4,O,1,4,8.4,@.bOrt,5,O,2,5,14.1
ground,abound,1,0,1,graUnd,5,aU,1,6,12.5,@.baUnd,5,aU,2,6,12.5
sound,abound,3,0,1,saUnd,4,aU,1,5,8.96,@.baUnd,5,aU,2,6,12.5
wound,abound,1,0,1,waUnd,4,aU,1,5,10.28,@.baUnd,5,aU,2,6,12.5
doubt,about,3,0,1,daUt,3,aU,1,5,?,@.baUt,4,aU,2,5,7.9
drought,about,1,0,1,draUt,4,aU,1,7,7.56,@.baUt,4,aU,2,5,7.9
grouch,about,1,0,0,graUtS,4,aU,1,6,7.15,@.baUt,4,aU,2,5,7.9
out,about,5,1,1,aUt,2,aU,1,3,8,@.baUt,4,aU,2,5,7.9
route,about,1,0,1,rut,3,u,1,5,5.93,@.baUt,4,aU,2,5,7.9
scout,about,2,0,1,skaUt,4,aU,1,5,7.08,@.baUt,4,aU,2,5,7.9
shout,about,2,0,1,SaUt,3,aU,1,5,7.25,@.baUt,4,aU,2,5,7.9
trout,about,2,0,1,traUt,4,aU,1,5,3.95,@.baUt,4,aU,2,5,7.9
clove,above,1,0,0,klov,4,o,1,5,8.7,@.bVv,4,?,2,5,6.2
dove,above,5,0,1,dVv,3,?,1,4,7.77,@.bVv,4,?,2,5,6.2
glove,above,2,0,1,glVv,4,?,1,5,7.7,@.bVv,4,?,2,5,6.2
love,above,3,0,1,lVv,3,?,1,4,7.08,@.bVv,4,?,2,5,6.2
of,above,3,0,1,Vv,2,?,1,2,9.93,@.bVv,4,?,2,5,6.2
shove,above,4,0,1,SVv,3,?,1,5,7.44,@.bVv,4,?,2,5,6.2
solve,above,1,0,0,sAlv,4,A,1,5,7.52,@.bVv,4,?,2,5,6.2
broad,abroad,3,0,1,brOd,4,O,1,5,7.83,@.brOd,5,O,2,6,?
wand,abscond,1,0,1,wAnd,4,A,1,4,9.21,@b.skAnd,7,A,2,7,?
bulb,absolve,1,0,0,bVlb,4,?,1,4,8.94,@b.zAlv,6,A,2,7,?
solve,absolve,3,0,1,sAlv,4,A,1,5,7.52,@b.zAlv,6,A,2,7,?
morgue,absorb,1,0,0,mOrg,4,O,1,6,?,@b.zOrb,6,O,2,6,?
corpse,absorbs,2,0,0,kOrps,5,O,1,6,?,@b.zOrbz,7,O,2,7,2.6
reign,abstain,1,0,1,ren,3,e,1,5,5.06,@b.sten,6,e,2,7,?
bird,absurd,3,0,1,b3`d,3,3`,1,4,6.62,@b.s3`d,5,3`,2,6,?
herb,absurd,1,0,0,3`b,2,3`,1,4,8.1,@b.s3`d,5,3`,2,6,?
third,absurd,1,0,1,T3`d,3,3`,1,5,?,@b.s3`d,5,3`,2,6,?
word,absurd,3,0,1,w3`d,3,3`,1,4,7.74,@b.s3`d,5,3`,2,6,?
fund,abundance,1,0,0,fVnd,4,?,1,4,8.79,@.bVn.4@ns,8,?,3,9,?
fuse,abuse,3,0,1,fjuz,4,u,1,4,5.22,@.bjuz,5,u,2,5,4.9
ford,accord,3,0,1,fOrd,4,O,1,4,8.89,@.kOrd,5,O,2,6,?
frost,accost,1,0,0,frOst,5,O,1,5,8.3,@.kOst,5,O,2,6,?
lost,accost,1,0,1,lOst,4,O,1,4,9.73,@.kOst,5,O,2,6,?
count,account,1,0,1,kaUnt,4,aU,1,5,8.62,@.kaUnt,5,aU,2,7,?
fuse,accuse,1,0,1,fjuz,4,u,1,4,5.22,@.kjuz,5,u,2,6,?
act,ace,1,0,0,akt,3,a,1,3,8.25,es,2,e,1,3,8.6
ax,ace,1,0,0,aks,3,a,1,2,10.8,es,2,e,1,3,8.6
base,ace,1,0,1,bes,3,e,1,4,7.55,es,2,e,1,3,8.6
blaze,ace,1,0,0,blez,4,e,1,5,6.64,es,2,e,1,3,8.6
cache,ace,1,0,0,kaS,3,a,1,5,2.71,es,2,e,1,3,8.6
case,ace,2,0,1,kes,3,e,1,4,9.16,es,2,e,1,3,8.6
chaise,ace,1,0,0,Sez,3,e,1,6,?,es,2,e,1,3,8.6
chase,ace,1,0,1,tSes,3,e,1,5,7.77,es,2,e,1,3,8.6
face,ace,8,0,1,fes,3,e,1,4,8.23,es,2,e,1,3,8.6
grace,ace,2,0,1,gres,4,e,1,5,7.37,es,2,e,1,3,8.6
lace,ace,5,0,1,les,3,e,1,4,7.28,es,2,e,1,3,8.6
peace,ace,2,0,0,pis,3,i,1,5,6.56,es,2,e,1,3,8.6
place,ace,4,0,1,ples,4,e,1,5,7.61,es,2,e,1,3,8.6
race,ace,3,0,1,res,3,e,1,4,8.18,es,2,e,1,3,8.6
space,ace,2,0,1,spes,4,e,1,5,7.01,es,2,e,1,3,8.6
arch,ache,2,0,0,ArtS,3,A,1,4,5.66,ek,2,e,1,4,6.8
cache,ache,4,0,0,kaS,3,a,1,5,2.71,ek,2,e,1,4,6.8
coach,ache,1,0,0,kotS,3,o,1,5,6.13,ek,2,e,1,4,6.8
fake,ache,1,0,1,fek,3,e,1,4,8.52,ek,2,e,1,4,6.8
flake,ache,2,0,1,flek,4,e,1,5,7.42,ek,2,e,1,4,6.8
gauche,ache,2,0,0,goS,3,o,1,6,4.45,ek,2,e,1,4,6.8
reach,ache,1,0,0,ritS,3,i,1,5,7.95,ek,2,e,1,4,6.8
take,ache,1,0,1,tek,3,e,1,4,8.08,ek,2,e,1,4,6.8
yacht,ache,1,0,0,jAt,3,A,1,5,5.02,ek,2,e,1,4,6.8
grieve,achieve,1,0,1,griv,4,i,1,6,?,@.tSiv,4,i,2,7,?
sieve,achieve,1,0,0,sIv,3,I,1,5,9.35,@.tSiv,4,i,2,7,?
ache,acne,1,0,0,ek,2,e,1,4,6.82,ak.ni,4,a,2,4,7.5
choir,acquire,1,0,1,kwaIr,4,aI,1,5,9.83,@.kwaIr,5,aI,2,7,?
fire,acquire,1,0,1,faIr,3,aI,1,4,8.12,@.kwaIr,5,aI,2,7,?
wire,acquire,1,0,1,waIr,3,aI,1,4,8.43,@.kwaIr,5,aI,2,7,?
cross,across,3,1,1,krOs,4,O,1,5,7.1,@.krOs,5,O,2,6,?
fact,act,6,0,1,fakt,4,a,1,4,8.71,akt,3,a,1,3,8.3
pack,act,1,0,1,pak,3,a,1,4,8.55,akt,3,a,1,3,8.3
shack,act,1,0,0,Sak,3,a,1,5,7.59,akt,3,a,1,3,8.3
tact,act,11,0,1,takt,4,a,1,4,7.56,akt,3,a,1,3,8.3
yacht,act,1,0,0,jAt,3,A,1,5,5.02,akt,3,a,1,3,8.3
act,actor,1,0,0,akt,3,a,1,3,8.25,akt.@`,4,a,2,5,5.3
add,ad,4,0,1,ad,2,a,1,3,8.97,ad,2,a,1,2,10.597
bad,ad,1,0,1,bad,3,a,1,3,8.76,ad,2,a,1,2,10.597
dad,ad,1,0,1,dad,3,a,1,3,8.93,ad,2,a,1,2,10.597
fade,ad,1,0,0,fed,3,e,1,4,7.35,ad,2,a,1,2,10.597
badge,adage,1,0,0,badZ,3,a,1,5,4.66,a.4@dZ,4,a.4@,2,5,2.6
ad,add,5,0,1,ad,2,a,1,2,10.6,ad,2,a,1,3,9
add,addition,1,1,0,ad,2,a,1,3,8.97,@d.I.Sn=,5,I.,3,8,6.7
dress,address,1,0,1,drEs,4,E,1,5,6.91,a.drEs,5,a.,2,7,?
depth,adept,1,0,0,dEpT,4,E,1,5,11.26,@.dEpt,5,E,2,5,8.4
lyre,admire,1,0,1,laIr,3,aI,1,4,6.35,@d.maIr,5,aI,2,6,?
tire,admire,1,0,1,taIr,3,aI,1,4,7.59,@d.maIr,5,aI,2,6,?
golf,adolf,1,0,1,gAlf,4,A,1,4,9.05,e.dAlf,5,e.,2,5,?
four,adore,1,0,1,fOr,3,O,1,4,8.21,@.dOr,4,O,2,5,6.2
poor,adore,1,0,1,pUr,3,U,1,4,7.76,@.dOr,4,O,2,5,6.2
pour,adore,1,0,1,pOr,3,O,1,4,7.86,@.dOr,4,O,2,5,6.2
sore,adore,1,0,1,sOr,3,O,1,4,8.89,@.dOr,4,O,2,5,6.2
corn,adorn,1,0,1,kOrn,4,O,1,4,7.74,@.dOrn,5,O,2,5,8
crypt,adrift,1,0,0,krIpt,5,I,1,5,6.48,@.drIft,6,I,2,6,?
sad,ads,1,0,0,sad,3,a,1,3,9.1,adz,3,a,1,3,8
fault,adult,1,0,1,fOlt,4,O,1,5,7.98,@.dVlt,5,?,2,5,?
vault,adult,1,0,0,vOlt,4,O,1,5,5.92,@.dVlt,5,?,2,5,?
guise,advise,1,0,1,gaIz,3,aI,1,5,6.66,@d.vaIz,5,aI,2,6,5.7
board,afford,1,0,1,bOrd,4,O,1,5,7.23,@.fOrd,5,O,2,6,?
cord,afford,2,0,1,kOrd,4,O,1,4,7.94,@.fOrd,5,O,2,6,?
ford,afford,3,0,1,fOrd,4,O,1,4,8.89,@.fOrd,5,O,2,6,?
lord,afford,2,0,1,lOrd,4,O,1,4,7.66,@.fOrd,5,O,2,6,?
sword,afford,1,0,1,sOrd,4,O,1,5,6.71,@.fOrd,5,O,2,6,?
tan,afghanistan,1,0,1,tan,3,a,1,3,9.51,af.ga.n@.stan,10,a.,4,11,?
foe,afro,1,0,0,fo,2,o,1,3,7.78,a.fro,4,a.,2,4,?
raft,aft,1,0,1,raft,4,a,1,4,5.35,aft,3,a,1,3,8
all,again,1,0,0,Ol,2,O,1,3,6.8,@.gEn,4,E,2,5,7.8
kin,again,1,0,0,kIn,3,I,1,3,8.78,@.gEn,4,E,2,5,7.8
badge,age,2,0,0,badZ,3,a,1,5,4.66,edZ,2,e,1,3,8.7
beige,age,1,0,1,beZ,3,e,1,5,4.95,edZ,2,e,1,3,8.7
cage,age,6,0,1,kedZ,3,e,1,4,9.51,edZ,2,e,1,3,8.7
change,age,1,0,0,tSendZ,4,e,1,6,10.85,edZ,2,e,1,3,8.7
gag,age,1,0,0,gag,3,a,1,3,7.71,edZ,2,e,1,3,8.7
gauge,age,3,0,1,gedZ,3,e,1,5,5.72,edZ,2,e,1,3,8.7
gaze,age,1,0,0,gez,3,e,1,4,7.18,edZ,2,e,1,3,8.7
page,age,9,0,1,pedZ,3,e,1,4,7.38,edZ,2,e,1,3,8.7
plague,age,1,0,0,pleg,4,e,1,6,4.74,edZ,2,e,1,3,8.7
plaque,age,1,0,0,plak,4,a,1,6,5.38,edZ,2,e,1,3,8.7
rage,age,10,0,1,redZ,3,e,1,4,8.58,edZ,2,e,1,3,8.7
stage,age,12,0,1,stedZ,4,e,1,5,6.59,edZ,2,e,1,3,8.7
vague,age,1,0,0,veg,3,e,1,5,8.51,edZ,2,e,1,3,8.7
wage,age,8,0,1,wedZ,3,e,1,4,7.82,edZ,2,e,1,3,8.7
be,agree,1,0,1,bi,2,i,1,2,11.26,@.gri,4,?,2,5,?
speed,agreed,1,0,1,spid,4,i,1,5,6.15,@.grid,5,i,2,6,8.6
rays,ahead,1,0,0,rez,3,e,1,4,7.48,@.hEd,4,E,2,5,7.6
toy,ahoy,1,0,1,tOI,2,O,1,3,9.06,@.hOI,3,O,2,4,1.6
ad,aid,1,0,0,ad,2,a,1,2,10.6,ed,2,e,1,3,9.4
fade,aid,4,0,1,fed,3,e,1,4,7.35,ed,2,e,1,3,9.4
made,aid,3,0,1,med,3,e,1,4,7.33,ed,2,e,1,3,9.4
maid,aid,7,0,1,med,3,e,1,4,10,ed,2,e,1,3,9.4
plaid,aid,1,0,0,plad,4,a,1,5,7.63,ed,2,e,1,3,9.4
said,aid,5,0,0,sEd,3,E,1,4,8.21,ed,2,e,1,3,9.4
suede,aid,1,0,1,swed,4,e,1,5,5.81,ed,2,e,1,3,9.4
fail,ail,5,0,1,fel,3,e,1,4,7.94,el,2,e,1,3,8.8
flail,ail,5,0,1,flel,4,e,1,5,7.29,el,2,e,1,3,8.8
hail,ail,2,0,1,hel,3,e,1,4,8.48,el,2,e,1,3,8.8
jail,ail,2,0,1,dZel,3,e,1,4,8.12,el,2,e,1,3,8.8
mail,ail,2,0,1,mel,3,e,1,4,7.45,el,2,e,1,3,8.8
nail,ail,2,0,1,nel,3,e,1,4,8.27,el,2,e,1,3,8.8
pail,ail,6,0,1,pel,3,e,1,4,8.03,el,2,e,1,3,8.8
pale,ail,2,0,1,pel,3,e,1,4,7.54,el,2,e,1,3,8.8
rail,ail,2,0,1,rel,3,e,1,4,8.15,el,2,e,1,3,8.8
sail,ail,5,0,1,sel,3,e,1,4,8.47,el,2,e,1,3,8.8
stale,ail,1,0,1,stel,4,e,1,5,7.83,el,2,e,1,3,8.8
tail,ail,3,0,1,tel,3,e,1,4,8.04,el,2,e,1,3,8.8
trail,ail,1,0,1,trel,4,e,1,5,7.06,el,2,e,1,3,8.8
whale,ail,3,0,1,hwel,4,e,1,5,9.73,el,2,e,1,3,8.8
blame,aim,1,0,1,blem,4,e,1,5,6.96,em,2,e,1,3,9
claim,aim,1,0,1,klem,4,e,1,5,6.5,em,2,e,1,3,9
fame,aim,2,0,1,fem,3,e,1,4,8.96,em,2,e,1,3,9
flame,aim,1,0,1,flem,4,e,1,5,7.87,em,2,e,1,3,9
gain,aim,1,0,0,gen,3,e,1,4,7.91,em,2,e,1,3,9
name,aim,1,0,1,nem,3,e,1,4,8.36,em,2,e,1,3,9
rain,aim,1,0,0,ren,3,e,1,4,8.13,em,2,e,1,3,9
tame,aim,1,0,1,tem,3,e,1,4,9.05,em,2,e,1,3,9
aim,aiming,1,1,0,em,2,e,1,3,8.96,em.IN,4,e,2,6,6
aid,air,1,0,0,ed,2,e,1,3,9.43,Er,2,E,1,3,7.8
aim,air,1,0,0,em,2,e,1,3,8.96,Er,2,E,1,3,7.8
chair,air,1,0,1,tSEr,3,E,1,5,8.07,Er,2,E,1,3,7.8
ear,air,1,0,0,Ir,2,I,1,3,9.6,Er,2,E,1,3,7.8
fair,air,4,0,1,fEr,3,E,1,4,7.43,Er,2,E,1,3,7.8
flair,air,9,0,1,flEr,4,E,1,5,6.7,Er,2,E,1,3,7.8
hair,air,7,0,1,hEr,3,E,1,4,8.68,Er,2,E,1,3,7.8
heir,air,7,1,0,Er,2,E,1,4,8.12,Er,2,E,1,3,7.8
lair,air,5,0,1,lEr,3,E,1,4,8.28,Er,2,E,1,3,7.8
pair,air,5,0,1,pEr,3,E,1,4,7.73,Er,2,E,1,3,7.8
prayer,air,1,0,0,prEr,4,E,1,6,7.52,Er,2,E,1,3,7.8
rare,air,1,0,1,rEr,3,E,1,4,7.99,Er,2,E,1,3,7.8
stair,air,5,0,1,stEr,4,E,1,5,6.76,Er,2,E,1,3,7.8
stare,air,2,0,1,stEr,4,E,1,5,9.15,Er,2,E,1,3,7.8
isle,aisle,10,0,1,aIl,2,aI,1,4,5.06,aIl,2,aI,1,5,5.6
far,ajar,1,0,1,fAr,3,A,1,3,9.01,@.dZAr,4,A,2,4,6.4
kin,akin,1,0,1,kIn,3,I,1,3,8.78,@.kIn,4,I,2,4,7.8
skin,akin,3,0,1,skIn,4,I,1,4,7.68,@.kIn,4,I,2,4,7.8
FALSE,al,1,0,0,fOls,4,O,1,5,3.47,al,2,a,1,2,10.7
pal,al,1,0,1,pal,3,a,1,3,8.42,al,2,a,1,2,10.7
talc,al,1,0,0,talk,4,a,1,4,8.56,al,2,a,1,2,10.7
arm,alarm,6,0,1,Arm,3,A,1,3,9.11,@.lArm,5,A,2,5,?
charm,alarm,7,0,1,tSArm,4,A,1,5,6.94,@.lArm,5,A,2,5,?
farm,alarm,7,0,1,fArm,4,A,1,4,7.25,@.lArm,5,A,2,5,?
harm,alarm,16,0,1,hArm,4,A,1,4,7.64,@.lArm,5,A,2,5,?
talc,alcohol,2,0,0,talk,4,a,1,4,8.56,al.k@.hAl,7,a,3,7,?
fail,ale,2,0,1,fel,3,e,1,4,7.94,el,2,e,1,3,8.6
flail,ale,3,0,1,flel,4,e,1,5,7.29,el,2,e,1,3,8.6
frail,ale,2,0,1,frel,4,e,1,5,7.35,el,2,e,1,3,8.6
hail,ale,1,0,1,hel,3,e,1,4,8.48,el,2,e,1,3,8.6
jail,ale,3,0,1,dZel,3,e,1,4,8.12,el,2,e,1,3,8.6
mail,ale,1,0,1,mel,3,e,1,4,7.45,el,2,e,1,3,8.6
male,ale,6,0,1,mel,3,e,1,4,7.75,el,2,e,1,3,8.6
nail,ale,1,0,1,nel,3,e,1,4,8.27,el,2,e,1,3,8.6
pail,ale,5,0,1,pel,3,e,1,4,8.03,el,2,e,1,3,8.6
pale,ale,24,0,1,pel,3,e,1,4,7.54,el,2,e,1,3,8.6
rail,ale,1,0,1,rel,3,e,1,4,8.15,el,2,e,1,3,8.6
sale,ale,5,0,1,sel,3,e,1,4,8,el,2,e,1,3,8.6
scale,ale,6,0,1,skel,4,e,1,5,6.35,el,2,e,1,3,8.6
stale,ale,5,0,1,stel,4,e,1,5,7.83,el,2,e,1,3,8.6
tail,ale,1,0,1,tel,3,e,1,4,8.04,el,2,e,1,3,8.6
tale,ale,8,0,1,tel,3,e,1,4,7.86,el,2,e,1,3,8.6
whale,ale,2,0,1,hwel,4,e,1,5,9.73,el,2,e,1,3,8.6
dirt,alert,1,0,1,d3`t,3,3`,1,4,7.01,@.l3`t,4,3`,2,5,7
hurt,alert,1,0,1,h3`t,3,3`,1,4,8.15,@.l3`t,4,3`,2,5,7
shirt,alert,1,0,1,S3`t,3,3`,1,5,6.51,@.l3`t,4,3`,2,5,7
