Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N,word_dist,pron_dist,category
string,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric,numeric,numeric,numeric
act,a,1,0,0,akt,3,a,1,3,8.25,e,1,e,1,1,13,2,3,0
tack,aback,1,0,1,tak,3,a,1,4,9.16,@.bak,4,a,2,5,2.4,2,3,0
wait,abate,1,0,1,wet,3,e,1,4,6.84,@.bet,4,e,2,5,4,4,3,0
bride,abide,1,0,1,braId,4,aI,1,5,7.54,@.baId,4,aI,2,5,6.6,2,3,0
guide,abide,2,0,1,gaId,3,aI,1,5,6.78,@.baId,4,aI,2,5,6.6,2,3,1
hide,abide,5,0,1,haId,3,aI,1,4,7.96,@.baId,4,aI,2,5,6.6,2,3,3
pride,abide,1,0,1,praId,4,aI,1,5,7.4,@.baId,4,aI,2,5,6.6,2,3,0
ride,abide,1,0,1,raId,3,aI,1,4,7.51,@.baId,4,aI,2,5,6.6,2,3,0
side,abide,6,0,1,saId,3,aI,1,4,7.99,@.baId,4,aI,2,5,6.6,2,3,3
slide,abide,2,0,1,slaId,4,aI,1,5,6.62,@.baId,4,aI,2,5,6.6,2,3,1
tide,abide,4,0,1,taId,3,aI,1,4,7.75,@.baId,4,aI,2,5,6.6,2,3,2
wide,abide,3,0,1,waId,3,aI,1,4,8.17,@.baId,4,aI,2,5,6.6,2,3,2
code,abode,1,0,1,kod,3,o,1,4,7.59,@.bod,4,o,2,5,8.4,2,3,0
load,abode,2,0,0,lod,3,o,1,4,7.64,@.bod,4,o,2,5,8.4,4,3,1
road,abode,3,0,1,rod,3,o,1,4,7.22,@.bod,4,o,2,5,8.4,4,3,2
toad,abode,1,0,1,tod,3,o,1,4,8.41,@.bod,4,o,2,5,8.4,4,3,0
court,abort,4,0,1,kOrt,4,O,1,5,10.45,@.bOrt,5,O,2,5,14.1,3,3,2
fort,abort,2,0,1,fOrt,4,O,1,4,9.07,@.bOrt,5,O,2,5,14.1,2,3,1
port,abort,2,0,1,pOrt,4,O,1,4,8.24,@.bOrt,5,O,2,5,14.1,2,3,1
quart,abort,2,0,1,kwOrt,5,O,1,5,6.17,@.bOrt,5,O,2,5,14.1,3,3,1
quartz,abort,1,0,0,kwOrts,6,O,1,6,6.19,@.bOrt,5,O,2,5,14.1,4,4,0
short,abort,1,0,1,SOrt,4,O,1,5,8.06,@.bOrt,5,O,2,5,14.1,2,3,0
sport,abort,2,0,1,spOrt,5,O,1,5,7.86,@.bOrt,5,O,2,5,14.1,2,3,1
wart,abort,1,0,1,wOrt,4,O,1,4,8.4,@.bOrt,5,O,2,5,14.1,3,3,0
ground,abound,1,0,1,graUnd,5,aU,1,6,12.5,@.baUnd,5,aU,2,6,12.5,2,3,0
sound,abound,3,0,1,saUnd,4,aU,1,5,8.96,@.baUnd,5,aU,2,6,12.5,2,3,2
wound,abound,1,0,1,waUnd,4,aU,1,5,10.28,@.baUnd,5,aU,2,6,12.5,2,3,0
drought,about,1,0,1,draUt,4,aU,1,7,7.56,@.baUt,4,aU,2,5,7.9,4,3,0
grouch,about,1,0,0,graUtS,4,aU,1,6,7.15,@.baUt,4,aU,2,5,7.9,4,4,0
out,about,5,1,1,aUt,2,aU,1,3,8,@.baUt,4,aU,2,5,7.9,2,3,3
route,about,1,0,1,rut,3,u,1,5,5.93,@.baUt,4,aU,2,5,7.9,3,5,0
scout,about,2,0,1,skaUt,4,aU,1,5,7.08,@.baUt,4,aU,2,5,7.9,2,3,1
