Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N,word_dist,pron_dist,category
string,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric,numeric,numeric,numeric
tack,aback,1,0,1,tak,3,a,1,4,9.16,@.bak,4,a,2,5,2.4,2,3,0
bride,abide,1,0,1,braId,4,aI,1,5,7.54,@.baId,4,aI,2,5,6.6,2,3,0
hide,abide,5,0,1,haId,3,aI,1,4,7.96,@.baId,4,aI,2,5,6.6,2,3,3
ride,abide,1,0,1,raId,3,aI,1,4,7.51,@.baId,4,aI,2,5,6.6,2,3,0
slide,abide,2,0,1,slaId,4,aI,1,5,6.62,@.baId,4,aI,2,5,6.6,2,3,1
wide,abide,3,0,1,waId,3,aI,1,4,8.17,@.baId,4,aI,2,5,6.6,2,3,2
load,abode,2,0,0,lod,3,o,1,4,7.64,@.bod,4,o,2,5,8.4,4,3,1
toad,abode,1,0,1,tod,3,o,1,4,8.41,@.bod,4,o,2,5,8.4,4,3,0
fort,abort,2,0,1,fOrt,4,O,1,4,9.07,@.bOrt,5,O,2,5,14.1,2,3,1
quart,abort,2,0,1,kwOrt,5,O,1,5,6.17,@.bOrt,5,O,2,5,14.1,3,3,1
short,abort,1,0,1,SOrt,4,O,1,5,8.06,@.bOrt,5,O,2,5,14.1,2,3,0
wart,abort,1,0,1,wOrt,4,O,1,4,8.4,@.bOrt,5,O,2,5,14.1,3,3,0
sound,abound,3,0,1,saUnd,4,aU,1,5,8.96,@.baUnd,5,aU,2,6,12.5,2,3,2
drought,about,1,0,1,draUt,4,aU,1,7,7.56,@.baUt,4,aU,2,5,7.9,4,3,0
out,about,5,1,1,aUt,2,aU,1,3,8,@.baUt,4,aU,2,5,7.9,2,3,3
scout,about,2,0,1,skaUt,4,aU,1,5,7.08,@.baUt,4,aU,2,5,7.9,2,3,1
trout,about,2,0,1,traUt,4,aU,1,5,3.95,@.baUt,4,aU,2,5,7.9,2,3,1
dove,above,5,0,1,dVv,3,?,1,4,7.77,@.bVv,4,?,2,5,6.2,2,3,3
love,above,3,0,1,lVv,3,?,1,4,7.08,@.bVv,4,?,2,5,6.2,2,3,2
shove,above,4,0,1,SVv,3,?,1,5,7.44,@.bVv,4,?,2,5,6.2,2,3,2
fuse,abuse,3,0,1,fjuz,4,u,1,4,5.22,@.bjuz,5,u,2,5,4.9,2,3,2
ax,ace,1,0,0,aks,3,a,1,2,10.8,es,2,e,1,3,8.6,2,2,0
blaze,ace,1,0,0,blez,4,e,1,5,6.64,es,2,e,1,3,8.6,3,3,0
case,ace,2,0,1,kes,3,e,1,4,9.16,es,2,e,1,3,8.6,2,1,1
face,ace,8,0,1,fes,3,e,1,4,8.23,es,2,e,1,3,8.6,1,1,3
lace,ace,5,0,1,les,3,e,1,4,7.28,es,2,e,1,3,8.6,1,1,3
place,ace,4,0,1,ples,4,e,1,5,7.61,es,2,e,1,3,8.6,2,2,2
space,ace,2,0,1,spes,4,e,1,5,7.01,es,2,e,1,3,8.6,2,2,1
cache,ache,4,0,0,kaS,3,a,1,5,2.71,ek,2,e,1,4,6.8,1,3,2
fake,ache,1,0,1,fek,3,e,1,4,8.52,ek,2,e,1,4,6.8,3,1,0
gauche,ache,2,0,0,goS,3,o,1,6,4.45,ek,2,e,1,4,6.8,2,3,1
take,ache,1,0,1,tek,3,e,1,4,8.08,ek,2,e,1,4,6.8,3,1,0
ache,acne,1,0,0,ek,2,e,1,4,6.82,ak.ni,4,a,2,4,7.5,1,4,0
pack,act,1,0,1,pak,3,a,1,4,8.55,akt,3,a,1,3,8.3,2,2,0
tact,act,11,0,1,takt,4,a,1,4,7.56,akt,3,a,1,3,8.3,1,1,3
act,actor,1,0,0,akt,3,a,1,3,8.25,akt.@`,4,a,2,5,5.3,2,3,0
bad,ad,1,0,1,bad,3,a,1,3,8.76,ad,2,a,1,2,10.597,1,1,0
fade,ad,1,0,0,fed,3,e,1,4,7.35,ad,2,a,1,2,10.597,2,2,0
ad,add,5,0,1,ad,2,a,1,2,10.6,ad,2,a,1,3,9,1,0,3
depth,adept,1,0,0,dEpT,4,E,1,5,11.26,@.dEpt,5,E,2,5,8.4,2,3,0
poor,adore,1,0,1,pUr,3,U,1,4,7.76,@.dOr,4,O,2,5,6.2,3,4,0
sore,adore,1,0,1,sOr,3,O,1,4,8.89,@.dOr,4,O,2,5,6.2,2,3,0
sad,ads,1,0,0,sad,3,a,1,3,9.1,adz,3,a,1,3,8,2,2,0
raft,aft,1,0,1,raft,4,a,1,4,5.35,aft,3,a,1,3,8,1,1,0
kin,again,1,0,0,kIn,3,I,1,3,8.78,@.gEn,4,E,2,5,7.8,3,4,0
beige,age,1,0,1,beZ,3,e,1,5,4.95,edZ,2,e,1,3,8.7,3,2,0
change,age,1,0,0,tSendZ,4,e,1,6,10.85,edZ,2,e,1,3,8.7,3,3,0
gauge,age,3,0,1,gedZ,3,e,1,5,5.72,edZ,2,e,1,3,8.7,2,1,2
page,age,9,0,1,pedZ,3,e,1,4,7.38,edZ,2,e,1,3,8.7,1,1,3
