Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N,word_dist,pron_dist,category
string,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric,string,numeric,string,numeric,numeric,numeric,numeric,numeric,numeric
act,a,1,0,0,akt,3,a,1,3,8.25,e,1,e,1,1,13,2,3,0
wait,abate,1,0,1,wet,3,e,1,4,6.84,@.bet,4,e,2,5,4,4,3,0
guide,abide,2,0,1,gaId,3,aI,1,5,6.78,@.baId,4,aI,2,5,6.6,2,3,1
pride,abide,1,0,1,praId,4,aI,1,5,7.4,@.baId,4,aI,2,5,6.6,2,3,0
side,abide,6,0,1,saId,3,aI,1,4,7.99,@.baId,4,aI,2,5,6.6,2,3,3
tide,abide,4,0,1,taId,3,aI,1,4,7.75,@.baId,4,aI,2,5,6.6,2,3,2
code,abode,1,0,1,kod,3,o,1,4,7.59,@.bod,4,o,2,5,8.4,2,3,0
road,abode,3,0,1,rod,3,o,1,4,7.22,@.bod,4,o,2,5,8.4,4,3,2
court,abort,4,0,1,kOrt,4,O,1,5,10.45,@.bOrt,5,O,2,5,14.1,3,3,2
port,abort,2,0,1,pOrt,4,O,1,4,8.24,@.bOrt,5,O,2,5,14.1,2,3,1
quartz,abort,1,0,0,kwOrts,6,O,1,6,6.19,@.bOrt,5,O,2,5,14.1,4,4,0
sport,abort,2,0,1,spOrt,5,O,1,5,7.86,@.bOrt,5,O,2,5,14.1,2,3,1
ground,abound,1,0,1,graUnd,5,aU,1,6,12.5,@.baUnd,5,aU,2,6,12.5,2,3,0
wound,abound,1,0,1,waUnd,4,aU,1,5,10.28,@.baUnd,5,aU,2,6,12.5,2,3,0
grouch,about,1,0,0,graUtS,4,aU,1,6,7.15,@.baUt,4,aU,2,5,7.9,4,4,0
route,about,1,0,1,rut,3,u,1,5,5.93,@.baUt,4,aU,2,5,7.9,3,5,0
shout,about,2,0,1,SaUt,3,aU,1,5,7.25,@.baUt,4,aU,2,5,7.9,2,3,1
clove,above,1,0,0,klov,4,o,1,5,8.7,@.bVv,4,?,2,5,6.2,2,4,0
glove,above,2,0,1,glVv,4,?,1,5,7.7,@.bVv,4,?,2,5,6.2,2,3,1
of,above,3,0,1,Vv,2,?,1,2,9.93,@.bVv,4,?,2,5,6.2,4,3,2
solve,above,1,0,0,sAlv,4,A,1,5,7.52,@.bVv,4,?,2,5,6.2,3,4,0
act,ace,1,0,0,akt,3,a,1,3,8.25,es,2,e,1,3,8.6,1,3,0
base,ace,1,0,1,bes,3,e,1,4,7.55,es,2,e,1,3,8.6,2,1,0
cache,ace,1,0,0,kaS,3,a,1,5,2.71,es,2,e,1,3,8.6,2,3,0
chase,ace,1,0,1,tSes,3,e,1,5,7.77,es,2,e,1,3,8.6,3,2,0
grace,ace,2,0,1,gres,4,e,1,5,7.37,es,2,e,1,3,8.6,2,2,1
peace,ace,2,0,0,pis,3,i,1,5,6.56,es,2,e,1,3,8.6,2,2,1
race,ace,3,0,1,res,3,e,1,4,8.18,es,2,e,1,3,8.6,1,1,2
arch,ache,2,0,0,ArtS,3,A,1,4,5.66,ek,2,e,1,4,6.8,2,4,1
coach,ache,1,0,0,kotS,3,o,1,5,6.13,ek,2,e,1,4,6.8,3,4,0
flake,ache,2,0,1,flek,4,e,1,5,7.42,ek,2,e,1,4,6.8,4,2,1
reach,ache,1,0,0,ritS,3,i,1,5,7.95,ek,2,e,1,4,6.8,3,4,0
yacht,ache,1,0,0,jAt,3,A,1,5,5.02,ek,2,e,1,4,6.8,2,3,0
